date_local,parameter,arithmetic_mean,aqi
2018-01-01,PM2.5 - Local Conditions,5.733333333333334,24.0
2018-01-02,PM2.5 - Local Conditions,6.5200000000000005,27.0
2018-01-03,PM2.5 - Local Conditions,5.433333333333333,22.666666666666668
2018-01-04,PM2.5 - Local Conditions,8.850000000000001,36.75
2018-01-05,PM2.5 - Local Conditions,8.199999999999998,34.2
2018-01-06,PM2.5 - Local Conditions,10.58,44.2
2018-01-07,PM2.5 - Local Conditions,10.099999999999998,42.2
2018-01-08,PM2.5 - Local Conditions,8.075000000000001,33.5
2018-01-09,PM2.5 - Local Conditions,8.26,34.6
2018-01-10,PM2.5 - Local Conditions,5.3199999999999985,22.2
2018-01-11,PM2.5 - Local Conditions,3.3333333333333344,13.833333333333334
2018-01-12,PM2.5 - Local Conditions,2.3200000000000007,10.2
2018-01-13,PM2.5 - Local Conditions,2.9,12.2
2018-01-14,PM2.5 - Local Conditions,5.385714285714285,22.571428571428573
2018-01-15,PM2.5 - Local Conditions,6.500000000000003,27.4
2018-01-16,PM2.5 - Local Conditions,6.82,28.6
2018-01-17,PM2.5 - Local Conditions,10.7,43.8
2018-01-18,PM2.5 - Local Conditions,13.860000000000005,53.0
2018-01-19,PM2.5 - Local Conditions,10.079999999999998,41.8
2018-01-20,PM2.5 - Local Conditions,5.5428571428571445,23.0
2018-01-21,PM2.5 - Local Conditions,5.539999999999998,23.0
2018-01-22,PM2.5 - Local Conditions,7.050000000000002,29.5
2018-01-23,PM2.5 - Local Conditions,2.3400000000000007,10.6
2018-01-24,PM2.5 - Local Conditions,6.25,26.0
2018-01-25,PM2.5 - Local Conditions,8.274999999999999,34.5
2018-01-26,PM2.5 - Local Conditions,10.099999999999998,42.0
2018-01-27,PM2.5 - Local Conditions,10.199999999999996,42.5
2018-01-28,PM2.5 - Local Conditions,5.574999999999998,23.25
2018-01-29,PM2.5 - Local Conditions,7.859999999999999,32.8
2018-01-30,PM2.5 - Local Conditions,7.233333333333335,30.333333333333332
2018-01-31,PM2.5 - Local Conditions,6.949999999999998,29.0
2018-02-01,PM2.5 - Local Conditions,6.4799999999999995,27.0
2018-02-02,PM2.5 - Local Conditions,3.9400000000000004,16.4
2018-02-03,PM2.5 - Local Conditions,4.875,20.5
2018-02-04,PM2.5 - Local Conditions,10.44,43.6
2018-02-05,PM2.5 - Local Conditions,7.0249999999999995,29.5
2018-02-06,PM2.5 - Local Conditions,11.2,46.5
2018-02-07,PM2.5 - Local Conditions,12.516666666666671,50.0
2018-02-08,PM2.5 - Local Conditions,14.625,55.75
2018-02-09,PM2.5 - Local Conditions,8.475,35.5
2018-02-10,PM2.5 - Local Conditions,3.96,16.4
2018-02-11,PM2.5 - Local Conditions,4.625,19.0
2018-02-12,PM2.5 - Local Conditions,8.700000000000001,36.25
2018-02-13,PM2.5 - Local Conditions,6.839999999999998,28.6
2018-02-14,PM2.5 - Local Conditions,3.933333333333334,16.333333333333332
2018-02-15,PM2.5 - Local Conditions,6.05,25.25
2018-02-16,PM2.5 - Local Conditions,9.266666666666666,38.666666666666664
2018-02-17,PM2.5 - Local Conditions,7.42,30.8
2018-02-18,PM2.5 - Local Conditions,3.7,15.6
2018-02-19,PM2.5 - Local Conditions,6.600000000000003,27.428571428571427
2018-02-20,PM2.5 - Local Conditions,7.679999999999998,32.0
2018-02-21,PM2.5 - Local Conditions,2.86,12.0
2018-02-22,PM2.5 - Local Conditions,1.9000000000000001,8.0
2018-02-23,PM2.5 - Local Conditions,8.16,33.8
2018-02-24,PM2.5 - Local Conditions,5.539999999999998,23.2
2018-02-25,PM2.5 - Local Conditions,2.1857142857142864,9.714285714285714
2018-02-26,PM2.5 - Local Conditions,3.1199999999999997,13.0
2018-02-27,PM2.5 - Local Conditions,6.074999999999999,25.25
2018-02-28,PM2.5 - Local Conditions,3.3333333333333335,13.833333333333334
2018-03-01,PM2.5 - Local Conditions,2.3200000000000007,9.8
2018-03-02,PM2.5 - Local Conditions,6.000000000000002,25.25
2018-03-03,PM2.5 - Local Conditions,3.385714285714286,14.142857142857142
2018-03-04,PM2.5 - Local Conditions,3.8599999999999994,16.2
2018-03-05,PM2.5 - Local Conditions,7.540000000000004,31.4
2018-03-06,PM2.5 - Local Conditions,3.6166666666666685,15.166666666666666
2018-03-07,PM2.5 - Local Conditions,4.220000000000001,17.4
2018-03-08,PM2.5 - Local Conditions,7.7600000000000025,32.6
2018-03-09,PM2.5 - Local Conditions,10.014285714285714,41.857142857142854
2018-03-10,PM2.5 - Local Conditions,14.160000000000002,55.4
2018-03-11,PM2.5 - Local Conditions,10.340000000000003,43.4
2018-03-12,PM2.5 - Local Conditions,6.8199999999999985,28.4
2018-03-13,PM2.5 - Local Conditions,7.539999999999999,31.4
2018-03-14,PM2.5 - Local Conditions,5.65,23.75
2018-03-15,PM2.5 - Local Conditions,8.319999999999997,34.6
2018-03-16,PM2.5 - Local Conditions,13.719999999999999,54.4
2018-03-17,PM2.5 - Local Conditions,7.959999999999999,33.2
2018-03-18,PM2.5 - Local Conditions,13.299999999999999,53.666666666666664
2018-03-19,PM2.5 - Local Conditions,9.96,41.8
2018-03-20,PM2.5 - Local Conditions,5.559999999999999,23.2
2018-03-21,PM2.5 - Local Conditions,5.700000000000001,23.857142857142858
2018-03-22,PM2.5 - Local Conditions,7.199999999999998,30.2
2018-03-23,PM2.5 - Local Conditions,7.899999999999999,32.8
2018-03-24,PM2.5 - Local Conditions,6.616666666666667,27.666666666666668
2018-03-25,PM2.5 - Local Conditions,2.8,11.6
2018-03-26,PM2.5 - Local Conditions,5.919999999999999,24.6
2018-03-27,PM2.5 - Local Conditions,6.357142857142856,26.428571428571427
2018-03-28,PM2.5 - Local Conditions,5.724999999999999,24.0
2018-03-29,PM2.5 - Local Conditions,2.3000000000000007,9.5
2018-03-30,PM2.5 - Local Conditions,4.750000000000001,19.666666666666668
2018-03-31,PM2.5 - Local Conditions,6.820000000000002,28.4
2018-04-01,PM2.5 - Local Conditions,6.42,27.0
2018-04-02,PM2.5 - Local Conditions,4.7857142857142865,20.0
2018-04-03,PM2.5 - Local Conditions,7.339999999999998,30.6
2018-04-04,PM2.5 - Local Conditions,4.699999999999999,19.8
2018-04-05,PM2.5 - Local Conditions,5.659999999999999,23.6
2018-04-06,PM2.5 - Local Conditions,8.225,34.0
2018-04-07,PM2.5 - Local Conditions,8.125,33.75
2018-04-08,PM2.5 - Local Conditions,5.3999999999999995,22.666666666666668
2018-04-09,PM2.5 - Local Conditions,4.250000000000001,18.0
2018-04-10,PM2.5 - Local Conditions,11.220000000000002,46.8
2018-04-11,PM2.5 - Local Conditions,10.216666666666667,42.5
2018-04-12,PM2.5 - Local Conditions,9.879999999999999,41.0
2018-04-13,PM2.5 - Local Conditions,8.960000000000004,37.4
2018-04-14,PM2.5 - Local Conditions,4.0285714285714285,16.857142857142858
2018-04-15,PM2.5 - Local Conditions,2.02,9.0
2018-04-16,PM2.5 - Local Conditions,3.1999999999999993,13.2
2018-04-17,PM2.5 - Local Conditions,6.200000000000002,26.0
2018-04-18,PM2.5 - Local Conditions,7.760000000000001,32.6
2018-04-19,PM2.5 - Local Conditions,4.300000000000002,18.0
2018-04-20,PM2.5 - Local Conditions,4.328571428571428,18.142857142857142
2018-04-21,PM2.5 - Local Conditions,7.220000000000001,30.2
2018-04-22,PM2.5 - Local Conditions,7.360000000000002,30.8
2018-04-23,PM2.5 - Local Conditions,1.9500000000000002,8.5
2018-04-24,PM2.5 - Local Conditions,3.7600000000000002,15.6
2018-04-25,PM2.5 - Local Conditions,9.000000000000002,37.5
2018-04-26,PM2.5 - Local Conditions,8.57142857142857,35.857142857142854
2018-04-27,PM2.5 - Local Conditions,8.36,35.0
2018-04-28,PM2.5 - Local Conditions,6.7,28.0
2018-04-29,PM2.5 - Local Conditions,3.9833333333333347,16.666666666666668
2018-04-30,PM2.5 - Local Conditions,6.075,25.25
2018-05-01,PM2.5 - Local Conditions,10.8,44.6
2018-05-02,PM2.5 - Local Conditions,12.528571428571425,51.142857142857146
2018-05-03,PM2.5 - Local Conditions,11.16,46.6
2018-05-04,PM2.5 - Local Conditions,11.099999999999996,46.0
2018-05-05,PM2.5 - Local Conditions,5.659999999999999,23.6
2018-05-06,PM2.5 - Local Conditions,5.45,22.75
2018-05-07,PM2.5 - Local Conditions,6.699999999999999,28.0
2018-05-08,PM2.5 - Local Conditions,9.883333333333335,41.0
2018-05-09,PM2.5 - Local Conditions,12.024999999999997,49.0
2018-05-10,PM2.5 - Local Conditions,13.399999999999997,53.75
2018-05-11,PM2.5 - Local Conditions,13.559999999999997,53.8
2018-05-12,PM2.5 - Local Conditions,13.025000000000002,52.75
2018-05-13,PM2.5 - Local Conditions,13.133333333333333,53.333333333333336
2018-05-14,PM2.5 - Local Conditions,13.52,53.8
2018-05-15,PM2.5 - Local Conditions,14.0,54.5
2018-05-16,PM2.5 - Local Conditions,10.800000000000002,45.25
2018-05-17,PM2.5 - Local Conditions,8.859999999999996,37.0
2018-05-18,PM2.5 - Local Conditions,7.274999999999998,30.5
2018-05-19,PM2.5 - Local Conditions,8.275,34.75
2018-05-20,PM2.5 - Local Conditions,8.2,34.2
2018-05-21,PM2.5 - Local Conditions,7.650000000000001,32.0
2018-05-22,PM2.5 - Local Conditions,5.625000000000002,23.75
2018-05-23,PM2.5 - Local Conditions,7.975,33.25
2018-05-24,PM2.5 - Local Conditions,8.699999999999998,36.333333333333336
2018-05-25,PM2.5 - Local Conditions,10.333333333333336,43.0
2018-05-26,PM2.5 - Local Conditions,6.950000000000002,29.0
2018-05-27,PM2.5 - Local Conditions,7.266666666666666,30.333333333333332
2018-05-28,PM2.5 - Local Conditions,5.1000000000000005,21.333333333333332
2018-05-29,PM2.5 - Local Conditions,2.5000000000000004,10.0
2018-05-30,PM2.5 - Local Conditions,5.133333333333333,21.666666666666668
2018-05-31,PM2.5 - Local Conditions,9.149999999999997,38.0
2018-06-01,PM2.5 - Local Conditions,5.3000000000000025,22.333333333333332
2018-06-02,PM2.5 - Local Conditions,10.0,42.0
2018-06-03,PM2.5 - Local Conditions,8.333333333333332,35.0
2018-06-04,PM2.5 - Local Conditions,4.5,18.75
2018-06-05,PM2.5 - Local Conditions,6.533333333333334,27.333333333333332
2018-06-06,PM2.5 - Local Conditions,9.4,39.333333333333336
2018-06-07,PM2.5 - Local Conditions,10.059999999999997,42.0
2018-06-08,PM2.5 - Local Conditions,10.833333333333334,45.333333333333336
2018-06-09,PM2.5 - Local Conditions,11.249999999999996,46.75
2018-06-10,PM2.5 - Local Conditions,8.3,34.4
2018-06-11,PM2.5 - Local Conditions,9.4,39.0
2018-06-12,PM2.5 - Local Conditions,11.099999999999998,46.0
2018-06-13,PM2.5 - Local Conditions,3.983333333333334,16.666666666666668
2018-06-14,PM2.5 - Local Conditions,10.6,44.25
2018-06-15,PM2.5 - Local Conditions,13.233333333333329,53.333333333333336
2018-06-16,PM2.5 - Local Conditions,11.680000000000001,48.4
2018-06-17,PM2.5 - Local Conditions,11.2,46.75
2018-06-18,PM2.5 - Local Conditions,11.200000000000001,46.666666666666664
2018-06-19,PM2.5 - Local Conditions,15.640000000000006,58.6
2018-06-20,PM2.5 - Local Conditions,10.100000000000001,42.0
2018-06-21,PM2.5 - Local Conditions,6.924999999999997,29.0
2018-06-22,PM2.5 - Local Conditions,4.640000000000001,19.4
2018-06-23,PM2.5 - Local Conditions,6.774999999999998,28.25
2018-06-24,PM2.5 - Local Conditions,7.899999999999998,33.0
2018-06-25,PM2.5 - Local Conditions,6.333333333333331,26.5
2018-06-26,PM2.5 - Local Conditions,6.875000000000001,28.75
2018-06-27,PM2.5 - Local Conditions,7.700000000000002,32.0
2018-06-28,PM2.5 - Local Conditions,7.280000000000001,30.4
2018-06-29,PM2.5 - Local Conditions,6.825000000000001,28.5
2018-06-30,PM2.5 - Local Conditions,10.475000000000003,43.5
2018-07-01,PM2.5 - Local Conditions,10.08333333333333,42.166666666666664
2018-07-02,PM2.5 - Local Conditions,7.074999999999999,29.25
2018-07-03,PM2.5 - Local Conditions,7.249999999999999,30.25
2018-07-04,PM2.5 - Local Conditions,13.26,52.6
2018-07-05,PM2.5 - Local Conditions,14.575000000000005,55.0
2018-07-06,PM2.5 - Local Conditions,7.799999999999999,32.75
2018-07-07,PM2.5 - Local Conditions,7.599999999999998,31.5
2018-07-08,PM2.5 - Local Conditions,7.2749999999999995,30.25
2018-07-09,PM2.5 - Local Conditions,8.675000000000002,36.25
2018-07-10,PM2.5 - Local Conditions,9.499999999999998,39.8
2018-07-11,PM2.5 - Local Conditions,10.324999999999998,43.25
2018-07-12,PM2.5 - Local Conditions,11.374999999999998,47.5
2018-07-13,PM2.5 - Local Conditions,15.649999999999999,58.666666666666664
2018-07-14,PM2.5 - Local Conditions,14.900000000000004,55.75
2018-07-15,PM2.5 - Local Conditions,6.675000000000001,27.75
2018-07-16,PM2.5 - Local Conditions,7.3199999999999985,30.4
2018-07-17,PM2.5 - Local Conditions,9.15,38.25
2018-07-18,PM2.5 - Local Conditions,7.499999999999997,31.5
2018-07-19,PM2.5 - Local Conditions,8.200000000000003,34.166666666666664
2018-07-20,PM2.5 - Local Conditions,11.525,48.0
2018-07-21,PM2.5 - Local Conditions,6.175000000000001,26.0
2018-07-22,PM2.5 - Local Conditions,6.000000000000002,25.2
2018-07-23,PM2.5 - Local Conditions,8.075000000000001,33.75
2018-07-24,PM2.5 - Local Conditions,13.299999999999999,53.25
2018-07-25,PM2.5 - Local Conditions,16.766666666666666,60.833333333333336
2018-07-26,PM2.5 - Local Conditions,11.775000000000002,48.25
2018-07-27,PM2.5 - Local Conditions,7.825000000000002,32.5
2018-07-28,PM2.5 - Local Conditions,6.539999999999999,27.4
2018-07-29,PM2.5 - Local Conditions,6.249999999999999,26.5
2018-07-30,PM2.5 - Local Conditions,8.024999999999999,33.5
2018-07-31,PM2.5 - Local Conditions,10.3,42.8
2018-08-01,PM2.5 - Local Conditions,8.166666666666666,34.0
2018-08-02,PM2.5 - Local Conditions,7.025000000000001,29.25
2018-08-03,PM2.5 - Local Conditions,6.340000000000002,26.4
2018-08-04,PM2.5 - Local Conditions,6.549999999999999,27.5
2018-08-05,PM2.5 - Local Conditions,6.9750000000000005,29.0
2018-08-06,PM2.5 - Local Conditions,6.666666666666665,27.833333333333332
2018-08-07,PM2.5 - Local Conditions,6.825000000000001,28.5
2018-08-08,PM2.5 - Local Conditions,6.600000000000001,27.75
2018-08-09,PM2.5 - Local Conditions,6.74,28.2
2018-08-10,PM2.5 - Local Conditions,8.175,34.0
2018-08-11,PM2.5 - Local Conditions,10.274999999999999,43.0
2018-08-12,PM2.5 - Local Conditions,12.56,51.0
2018-08-13,PM2.5 - Local Conditions,13.400000000000004,52.75
2018-08-14,PM2.5 - Local Conditions,15.45,57.75
2018-08-15,PM2.5 - Local Conditions,21.100000000000005,69.75
2018-08-16,PM2.5 - Local Conditions,15.700000000000001,59.0
2018-08-17,PM2.5 - Local Conditions,8.675,36.25
2018-08-18,PM2.5 - Local Conditions,7.100000000000001,29.8
2018-08-19,PM2.5 - Local Conditions,9.249999999999998,38.5
2018-08-20,PM2.5 - Local Conditions,6.2,25.75
2018-08-21,PM2.5 - Local Conditions,6.1,25.25
2018-08-22,PM2.5 - Local Conditions,15.799999999999994,59.0
2018-08-23,PM2.5 - Local Conditions,9.024999999999999,37.5
2018-08-24,PM2.5 - Local Conditions,12.959999999999999,52.4
2018-08-25,PM2.5 - Local Conditions,15.375,57.75
2018-08-26,PM2.5 - Local Conditions,15.266666666666667,57.666666666666664
2018-08-27,PM2.5 - Local Conditions,12.95,53.0
2018-08-28,PM2.5 - Local Conditions,9.966666666666667,41.333333333333336
2018-08-29,PM2.5 - Local Conditions,5.699999999999998,23.5
2018-08-30,PM2.5 - Local Conditions,5.540000000000001,23.0
2018-08-31,PM2.5 - Local Conditions,3.9,16.5
2018-09-01,PM2.5 - Local Conditions,4.250000000000001,17.75
2018-09-02,PM2.5 - Local Conditions,4.88,20.4
2018-09-03,PM2.5 - Local Conditions,4.425000000000001,18.5
2018-09-04,PM2.5 - Local Conditions,5.024999999999999,21.0
2018-09-05,PM2.5 - Local Conditions,7.0,29.333333333333332
2018-09-06,PM2.5 - Local Conditions,6.074999999999998,25.25
2018-09-07,PM2.5 - Local Conditions,5.075,21.25
2018-09-08,PM2.5 - Local Conditions,6.460000000000003,27.0
2018-09-09,PM2.5 - Local Conditions,4.250000000000001,17.5
2018-09-10,PM2.5 - Local Conditions,3.766666666666666,15.666666666666666
2018-09-11,PM2.5 - Local Conditions,2.349999999999999,9.666666666666666
2018-09-12,PM2.5 - Local Conditions,3.45,14.25
2018-09-13,PM2.5 - Local Conditions,5.649999999999999,23.75
2018-09-14,PM2.5 - Local Conditions,6.620000000000002,27.6
2018-09-15,PM2.5 - Local Conditions,6.524999999999998,27.25
2018-09-16,PM2.5 - Local Conditions,1.75,7.25
2018-09-17,PM2.5 - Local Conditions,3.783333333333335,15.666666666666666
2018-09-18,PM2.5 - Local Conditions,5.9,24.75
2018-09-19,PM2.5 - Local Conditions,9.575,39.5
2018-09-20,PM2.5 - Local Conditions,10.420000000000002,43.4
2018-09-21,PM2.5 - Local Conditions,9.925,41.5
2018-09-22,PM2.5 - Local Conditions,5.875,24.5
2018-09-23,PM2.5 - Local Conditions,2.6666666666666674,11.0
2018-09-24,PM2.5 - Local Conditions,6.249999999999999,26.0
2018-09-25,PM2.5 - Local Conditions,4.449999999999998,18.75
2018-09-26,PM2.5 - Local Conditions,5.16,21.6
2018-09-27,PM2.5 - Local Conditions,2.4333333333333336,10.333333333333334
2018-09-28,PM2.5 - Local Conditions,4.3999999999999995,18.333333333333332
2018-09-29,PM2.5 - Local Conditions,5.72,23.8
2018-09-30,PM2.5 - Local Conditions,6.5666666666666655,27.333333333333332
2018-10-01,PM2.5 - Local Conditions,7.1,30.0
2018-10-02,PM2.5 - Local Conditions,6.0,25.0
2018-10-03,PM2.5 - Local Conditions,7.699999999999998,32.0
2018-10-04,PM2.5 - Local Conditions,10.299999999999997,42.75
2018-10-05,PM2.5 - Local Conditions,10.040000000000003,41.6
2018-10-06,PM2.5 - Local Conditions,12.133333333333333,48.333333333333336
2018-10-07,PM2.5 - Local Conditions,14.066666666666665,53.333333333333336
2018-10-08,PM2.5 - Local Conditions,9.975000000000001,41.25
2018-10-09,PM2.5 - Local Conditions,5.566666666666666,23.0
2018-10-10,PM2.5 - Local Conditions,4.500000000000001,19.0
2018-10-11,PM2.5 - Local Conditions,3.266666666666667,13.833333333333334
2018-10-12,PM2.5 - Local Conditions,3.3333333333333335,14.0
2018-10-13,PM2.5 - Local Conditions,5.125000000000001,21.25
2018-10-14,PM2.5 - Local Conditions,6.399999999999999,26.75
2018-10-15,PM2.5 - Local Conditions,5.549999999999999,23.25
2018-10-16,PM2.5 - Local Conditions,5.650000000000002,23.75
2018-10-17,PM2.5 - Local Conditions,6.05,25.5
2018-10-18,PM2.5 - Local Conditions,3.6749999999999994,15.5
2018-10-19,PM2.5 - Local Conditions,6.275,26.0
2018-10-20,PM2.5 - Local Conditions,4.340000000000002,18.2
2018-10-21,PM2.5 - Local Conditions,4.650000000000001,19.25
2018-10-22,PM2.5 - Local Conditions,6.05,25.25
2018-10-23,PM2.5 - Local Conditions,8.466666666666667,35.333333333333336
2018-10-24,PM2.5 - Local Conditions,4.55,19.0
2018-10-25,PM2.5 - Local Conditions,6.1,25.5
2018-10-26,PM2.5 - Local Conditions,3.02,12.6
2018-10-27,PM2.5 - Local Conditions,7.424999999999999,31.0
2018-10-28,PM2.5 - Local Conditions,7.35,30.5
2018-10-29,PM2.5 - Local Conditions,6.0,25.166666666666668
2018-10-30,PM2.5 - Local Conditions,7.733333333333334,32.333333333333336
2018-10-31,PM2.5 - Local Conditions,10.466666666666669,43.666666666666664
2018-11-01,PM2.5 - Local Conditions,3.820000000000001,15.8
2018-11-02,PM2.5 - Local Conditions,3.775,15.75
2018-11-03,PM2.5 - Local Conditions,5.9,24.75
2018-11-04,PM2.5 - Local Conditions,5.433333333333334,22.666666666666668
2018-11-05,PM2.5 - Local Conditions,3.7499999999999987,15.75
2018-11-06,PM2.5 - Local Conditions,4.550000000000001,19.0
2018-11-07,PM2.5 - Local Conditions,3.9599999999999995,16.6
2018-11-08,PM2.5 - Local Conditions,3.6749999999999994,15.25
2018-11-09,PM2.5 - Local Conditions,5.375,22.5
2018-11-10,PM2.5 - Local Conditions,6.683333333333333,27.833333333333332
2018-11-11,PM2.5 - Local Conditions,9.049999999999999,37.75
2018-11-12,PM2.5 - Local Conditions,8.274999999999999,34.5
2018-11-13,PM2.5 - Local Conditions,11.98,49.6
2018-11-14,PM2.5 - Local Conditions,9.6,40.333333333333336
2018-11-15,PM2.5 - Local Conditions,8.599999999999998,36.0
2018-11-16,PM2.5 - Local Conditions,10.725000000000001,42.75
2018-11-17,PM2.5 - Local Conditions,15.700000000000001,57.0
2018-11-18,PM2.5 - Local Conditions,17.6,62.333333333333336
2018-11-19,PM2.5 - Local Conditions,13.325000000000001,53.0
2018-11-20,PM2.5 - Local Conditions,8.439999999999998,35.2
2018-11-21,PM2.5 - Local Conditions,13.475000000000001,51.0
2018-11-22,PM2.5 - Local Conditions,14.783333333333331,53.333333333333336
2018-11-23,PM2.5 - Local Conditions,9.275000000000002,38.0
2018-11-24,PM2.5 - Local Conditions,6.725000000000001,28.25
2018-11-25,PM2.5 - Local Conditions,5.880000000000001,24.6
2018-11-26,PM2.5 - Local Conditions,3.750000000000001,15.5
2018-11-27,PM2.5 - Local Conditions,7.375000000000001,30.75
2018-11-28,PM2.5 - Local Conditions,9.583333333333336,39.666666666666664
2018-11-29,PM2.5 - Local Conditions,9.733333333333333,40.666666666666664
2018-11-30,PM2.5 - Local Conditions,3.8000000000000003,16.0
2018-12-01,PM2.5 - Local Conditions,3.1500000000000004,13.0
2018-12-02,PM2.5 - Local Conditions,4.466666666666668,19.0
2018-12-03,PM2.5 - Local Conditions,2.766666666666666,11.333333333333334
2018-12-04,PM2.5 - Local Conditions,3.0500000000000007,12.666666666666666
2018-12-05,PM2.5 - Local Conditions,4.175,17.25
2018-12-06,PM2.5 - Local Conditions,7.85,32.75
2018-12-07,PM2.5 - Local Conditions,12.959999999999999,52.8
2018-12-08,PM2.5 - Local Conditions,9.325,39.0
2018-12-09,PM2.5 - Local Conditions,9.250000000000002,38.5
2018-12-10,PM2.5 - Local Conditions,14.459999999999997,56.0
2018-12-11,PM2.5 - Local Conditions,14.933333333333335,57.0
2018-12-12,PM2.5 - Local Conditions,6.4750000000000005,27.0
2018-12-13,PM2.5 - Local Conditions,5.4,22.75
2018-12-14,PM2.5 - Local Conditions,3.0749999999999997,12.75
2018-12-15,PM2.5 - Local Conditions,4.500000000000001,18.75
2018-12-16,PM2.5 - Local Conditions,4.533333333333332,18.833333333333332
2018-12-17,PM2.5 - Local Conditions,6.625,27.75
2018-12-18,PM2.5 - Local Conditions,8.200000000000003,33.75
2018-12-19,PM2.5 - Local Conditions,10.520000000000003,42.2
2018-12-20,PM2.5 - Local Conditions,5.75,24.0
2018-12-21,PM2.5 - Local Conditions,4.4,18.25
2018-12-22,PM2.5 - Local Conditions,6.466666666666665,27.0
2018-12-23,PM2.5 - Local Conditions,6.2250000000000005,26.0
2018-12-24,PM2.5 - Local Conditions,8.299999999999999,34.5
2018-12-25,PM2.5 - Local Conditions,7.959999999999999,33.2
2018-12-26,PM2.5 - Local Conditions,8.55,36.0
2018-12-27,PM2.5 - Local Conditions,4.025,17.0
2018-12-28,PM2.5 - Local Conditions,2.833333333333334,11.833333333333334
2018-12-29,PM2.5 - Local Conditions,8.575000000000001,35.75
2018-12-30,PM2.5 - Local Conditions,7.45,31.0
2018-12-31,PM2.5 - Local Conditions,2.7000000000000006,11.333333333333334
2019-01-01,PM2.5 - Local Conditions,2.4749999999999996,10.5
2019-01-02,PM2.5 - Local Conditions,8.8,36.75
2019-01-03,PM2.5 - Local Conditions,13.916666666666666,54.5
2019-01-04,PM2.5 - Local Conditions,3.2,13.5
2019-01-05,PM2.5 - Local Conditions,6.249999999999999,26.0
2019-01-06,PM2.5 - Local Conditions,8.760000000000002,36.8
2019-01-07,PM2.5 - Local Conditions,5.3500000000000005,22.25
2019-01-08,PM2.5 - Local Conditions,3.9,16.25
2019-01-09,PM2.5 - Local Conditions,1.8499999999999999,7.833333333333333
